,Words,lemmas
0,enjoyable,enjoyable
1,pleasurable,pleasurable
2,courteous,courteous
3,lovely,lovely
4,likable,likable
5,pleasing,pleasing
6,gracious,gracious
7,congenial,congenial
8,cordial,cordial
9,admirable,admirable
10,considerate,considerate
11,amiable,amiable
12,charming,charming
13,kind,kind
14,neat,neat
15,delightful,delightful
16,pleasant,pleasant
17,amazing,amazing
18,astonishing,astonishing
19,astounding,astounding
20,awesome,awesome
21,fabulous,fabulous
22,fantastic,fantastic
23,incredible,incredible
24,stupendous,stupendous
25,unbelievable,unbelievable
26,wonderful,wonderful
27,unimaginable,unimaginable
28,tremendous,tremendous
29,unexpected,unexpected
30,phenomenal,phenomenal
31,spectacular,spectacular
32,stunning,stunning
33,overwhelming,overwhelming
34,remarkable,remarkable
35,breathtaking,breathtaking
36,significant,significant
37,staggering,staggering
38,brilliant,brilliant
39,extraordinary,extraordinary
40,marvelous,marvelous
41,prodigious,prodigious
42,good,good
43,excellent,excellent
44,amazing,amazing
45,wonderful,wonderful
46,pleasant,pleasant
47,marvelous,marvelous
48,exceptional,exceptional
49,fantastic,fantastic
50,super,super
51,outstanding,outstanding
52,terrific,terrific
53,splendid,splendid
54,stupendous,stupendous
55,happy,happy
56,amused,amused
57,blissful,blissful
58,bright,bright
59,charmed,charmed
60,cheerful,cheerful
61,contented,contented
62,delighted,delighted
63,eager,eager
64,ecstatic,ecstatic
65,elated,elated
66,enthusiastic,enthusiastic
67,excited,excited
68,exultant,exultant
69,glad,glad
70,gleeful,gleeful
71,hopeful,hopeful
72,joyful,joyful
73,lively,lively
74,loving,loving
75,marvelous,marvelous
76,merry,merry
77,optimistic,optimistic
78,overjoyed,overjoyed
79,pleased,pleased
80,positive,positive
81,satisfied,satisfied
82,thrilled,thrilled
83,delicious,delicious
84,appetizing,appetizing
85,tasty,tasty
86,flavourful,flavourful
87,delectable,delectable
88,scrumptious,scrumptious
89,mouth-watering,mouth-watering
90,delish,delish
91,yummy,yummy
92,juicy,juicy
93,luscious,luscious
94,kind,kind
95,sympathetic,sympathetic
96,generous,generous
97,amiable,amiable
98,considerate,considerate
99,gentle,gentle
100,benign,benign
101,gracious,gracious
102,benevolent,benevolent
103,kindhearted,kindhearted
104,congenial,congenial
105,compassionate,compassionate
106,caring,caring
107,friendly,friendly
108,thoughtful,thoughtful
109,nice,nice
110,good-natured,good-natured
111,attentive,attentive
112,avuncular,avuncular
113,bad,bad
114,awful,awful
115,terrible,terrible
116,crummy,crummy
117,crappy,crappy
118,rotten,rotten
119,naughty,naughty
120,dreadful,dreadful
121,nasty,nasty
122,wicked,wicked
123,lousy,lousy
124,unpleasant,unpleasant
125,disagreeable,disagreeable
126,wretched,wretched
127,horrible,horrible
128,outrageous,outrageous
129,despicable,despicable
130,disgraceful,disgraceful
131,small,small
132,tiny,tiny
133,petite,petite
134,mini,mini
135,teeny-weeny,teeny-weeny
136,little,little
137,slight,slight
138,minute,minute
139,skimpy,skimpy
140,miniature,miniature
141,wee,wee
142,diminutive,diminutive
143,love,love
144,admire,admire
145,adore,adore
146,appreciate,appreciate
147,cherish,cherish
148,enjoy,enjoy
149,fancy,fancy
150,dote on,dote
151,honour,honour
152,respect,respect
153,savor,savor
154,like,like
155,legendary,legendary
156,best,best
157,great,great
158,acclaimed,acclaimed
159,iconic,iconic
160,visionary,visionary
161,outstanding,outstanding
162,leading,leading
163,celebrated,celebrated
164,popular,popular
165,award-winning,award-winning
166,landmark,landmark
167,cutting-edge,cutting-edge
168,innovative,innovative
169,revolutionary,revolutionary
170,extraordinary,extraordinary
171,brilliant,brilliant
172,hit,hit
173,famous,famous
174,renowned,renowned
175,remarkable,remarkable
176,prestigious,prestigious
177,respected,respected
178,notable,notable
179,virtuoso,virtuoso
180,honorable,honorable
181,awesome,awesome
182,unique,unique
183,pioneering,pioneering
184,phenomena,phenomenon
185,extremely,extremely
186,exceedingly,exceedingly
187,simple,simple
188,excellent,excellent
189,interestingly,interestingly
190,significantly,significantly
191,substantially,substantially
192,clearly,clearly
193,smart,smart
194,reportedly,reportedly
195,arguably,arguably
